 Região e UF ;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Região Sudeste;32.59;31.05;29.58;28.19;26.86;25.59;24.38;23.23;22.13;21.09;20.09;19.15;18.25;17.49;16.77;16.03;15.31;14.79;14.34;13.89;13.43;13
Minas Gerais;38.95;37.37;35.85;34.39;33;31.66;30.37;29.14;27.95;26.82;25.73;24.71;23.25;22.11;21.17;20.28;19.18;18.28;17.56;16.98;16.16;15.51
Espírito Santo;33.24;31.28;29.44;27.71;26.08;24.54;23.1;21.74;20.46;19.26;18.13;17.63;16.8;15.85;15.69;15.37;15.07;14.72;13.59;12.86;11.91;11.65
Rio de Janeiro;32.34;30.9;29.52;28.21;26.95;25.75;24.6;23.51;22.46;21.46;20.5;19.35;18.78;18.44;17.68;16.77;15.8;15.16;14.84;14.53;14.31;14.06
São Paulo;30.76;29.05;27.44;25.91;24.47;23.11;21.83;20.62;19.47;18.39;17.37;16.48;15.7;15.02;14.4;13.82;13.34;13.05;12.75;12.37;12.04;11.63
Região Sul;28.28;26.86;25.52;24.24;23.03;21.88;20.78;19.74;18.75;17.82;16.92;16.53;16.11;15.63;14.87;14.07;13.39;12.99;12.52;12;11.58;11.3
Paraná;35.08;32.99;31.04;29.19;27.46;25.83;24.3;22.85;21.5;20.22;19.02;18.07;16.99;16.34;15.56;14.73;13.96;13.45;12.98;12.61;12.03;11.77
Santa Catarina;33.56;31.15;28.91;26.82;24.89;23.1;21.44;19.89;18.46;17.13;15.9;15.51;14.98;14.33;13.43;12.92;12.64;12.34;11.92;11.17;11.18;10.78
Rio Grande do Sul;26.23;24.86;23.56;22.33;21.16;20.06;19.01;18.01;17.07;16.18;15.33;15.49;15.8;15.6;14.95;14.03;13.21;12.9;12.37;11.85;11.33;11.1
Região Centro-Oeste;34.35;32.9;31.51;30.18;28.91;27.69;26.52;25.4;24.33;23.31;22.32;21.39;20.6;20.26;19.73;19.27;18.54;17.72;17.05;16.44;15.93;15.51
Mato Grosso do Sul;32.32;31.42;30.55;29.7;28.87;28.06;27.28;26.52;25.78;25.07;24.37;22.81;21.54;20.63;20.27;19.84;19.14;18.17;18;16.87;15.44;13.86
Mato Grosso;37.55;36.64;35.75;34.88;34.04;33.21;32.41;31.62;30.85;30.11;29.38;27.57;25.57;24.96;24.27;24.03;23.29;22.09;21.44;20.76;19.55;18.5
Goiás;35.1;33.38;31.74;30.18;28.7;27.29;25.95;24.67;23.46;22.31;21.21;20.83;20.65;20.67;19.86;19.14;18.48;17.82;16.7;15.83;15.89;16.12
Distrito Federal;28.88;27.1;25.43;23.86;22.38;21;19.71;18.49;17.35;16.28;15.27;14.53;14.17;13.74;13.73;13.55;12.62;12.04;11.73;12.26;12.16;12.09
Total;47.09;44.39;41.85;39.45;37.2;35.07;33.06;31.17;29.38;27.7;26.12;24.87;23.41;22.49;21.47;20.37;19.58;18.62;17.66;16.8;15.97;15.27
